Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
585,Ali Dembélé,fr FRA,DF,Torino,it Serie A,22-023,2004,0.2,0,1,0,0.0,4.29,0.00,0.00,,0,0
586,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,28-258,1997,5.7,5,19,8,42.1,3.36,1.41,0.16,0.38,2,3
587,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,28-021,1998,12.7,1,7,3,42.9,0.55,0.24,0.14,0.33,0,0
588,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27-309,1998,7.0,4,13,7,53.8,1.86,1.00,0.23,0.43,1,1
589,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-205,2004,6.5,0,0,0,,0.00,0.00,,,0,0
590,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24-039,2001,17.6,0,11,4,36.4,0.62,0.23,0.00,0.00,0,0
591,Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30-191,1995,0.3,0,0,0,,0.00,0.00,,,0,0
592,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30-288,1995,14.6,1,9,4,44.4,0.62,0.27,0.11,0.25,0,0
593,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,22-000,2004,1.4,0,0,0,,0.00,0.00,,,0,0
594,Nelson Deossa,co COL,MF,Real Betis,es La Liga,25-356,2000,4.7,0,10,0,0.0,2.13,0.00,0.00,,0,0
595,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-217,1996,4.0,0,0,0,,0.00,0.00,,,0,0
596,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19-321,2006,2.6,0,6,2,33.3,2.33,0.78,0.00,0.00,0,0
597,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22-109,2003,6.7,1,13,4,30.8,1.94,0.60,0.00,0.00,1,1
598,Tidiane Devernois,fr FRA,MF,Auxerre,fr Ligue 1,18-102,2007,0.1,0,0,0,,0.00,0.00,,,0,0
599,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-144,1998,14.5,4,17,5,29.4,1.18,0.35,0.24,0.80,0,0
600,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-185,1997,19.0,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
601,Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32-177,1993,22.0,1,23,8,34.8,01.05,0.36,0.04,0.13,0,0
602,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,26-194,1999,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0
603,Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,29-073,1996,9.6,1,9,6,66.7,0.94,0.62,0.11,0.17,0,0
604,Bambo Diaby,sn SEN,DF,Elche,es La Liga,28-042,1997,1.1,0,0,0,,0.00,0.00,,,0,0
605,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,29-040,1996,6.0,1,4,3,75.0,0.66,0.50,0.25,0.33,0,0
606,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,25-022,2001,14.2,0,1,0,0.0,0.07,0.00,0.00,,0,0
607,Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23-201,2002,15.3,2,31,10,32.3,02.02,0.65,0.06,0.20,0,0
608,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30-224,1995,11.2,4,24,11,45.8,2.13,0.98,0.17,0.36,0,1
609,Zoumana Diallo,fr FRA,FW,Nice,fr Ligue 1,20-360,2005,0.1,0,0,0,,0.00,0.00,,,0,0
610,Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,27-284,1998,5.2,1,9,1,11.1,1.72,0.19,0.11,1.00,0,0
611,Assane Diao,sn SEN,MF,Como,it Serie A,20-143,2005,3.5,0,6,1,16.7,1.72,0.29,0.00,0.00,0,0
612,Soriba Diaoune,fr FRA,FW,Lille,fr Ligue 1,18-167,2007,0.8,1,6,3,50.0,7.30,3.65,0.17,0.33,0,0
613,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,22-025,2004,4.6,0,7,1,14.3,1.51,0.22,0.00,0.00,0,0
614,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,25-079,2000,2.4,0,0,0,,0.00,0.00,,,0,0
615,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28-259,1997,19.0,2,8,4,50.0,0.42,0.21,0.25,0.50,0,0
616,Krépin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,26-337,1999,7.3,0,5,1,20.0,0.69,0.14,0.00,0.00,0,0
617,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-220,1993,16.0,0,0,0,,0.00,0.00,,,0,0
618,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,es La Liga,26-178,1999,3.7,0,5,1,20.0,1.36,0.27,0.00,0.00,0,0
619,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22-189,2003,7.2,0,3,0,0.0,0.42,0.00,0.00,,0,0
620,Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,29-015,1997,16.9,9,53,22,41.5,3.13,1.30,0.17,0.41,0,0
621,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-237,1998,12.0,0,25,4,16.0,02.08,0.33,0.00,0.00,0,0
622,Tyler Dibling,eng ENG,MF,Everton,eng Premier League,19-322,2006,3.8,0,4,0,0.0,01.04,0.00,0.00,,0,0
623,Nouha Dicko,ml MLI,"FW,MF",Paris FC,fr Ligue 1,33-259,1992,0.8,1,4,2,50.0,5.00,2.50,0.25,0.50,0,0
624,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25-311,2000,2.7,2,14,9,64.3,5.23,3.36,0.14,0.22,0,0
625,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,32-013,1994,7.5,1,3,2,66.7,0.40,0.27,0.33,0.50,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
626,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32-192,1993,13.7,0,10,5,50.0,0.73,0.37,0.00,0.00,0,0
627,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29-114,1996,16.8,3,12,6,50.0,0.72,0.36,0.00,0.00,3,3
628,Federico Dimarco,it ITA,MF,Inter,it Serie A,28-079,1997,17.1,5,32,15,46.9,1.88,0.88,0.16,0.33,0,0
629,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32-034,1993,3.0,0,0,0,,0.00,0.00,,,0,0
630,Junior Dina Ebimbe,cm CMR,"MF,FW",Brest,fr Ligue 1,25-068,2000,4.2,2,10,3,30.0,2.39,0.72,0.20,0.67,0,0
631,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,24-046,2001,2.8,0,4,0,0.0,1.45,0.00,0.00,,0,0
632,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24-294,2001,8.7,1,3,1,33.3,0.35,0.12,0.33,1.00,0,0
633,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,19-075,2006,13.2,7,27,15,55.6,02.05,1.14,0.26,0.47,0,0
634,Issa Diop,fr FRA,DF,Fulham,eng Premier League,29-019,1997,4.6,0,1,0,0.0,0.22,0.00,0.00,,0,0
635,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20-261,2005,0.1,0,1,0,0.0,7.50,0.00,0.00,,0,0
636,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25-233,2000,12.8,7,34,10,29.4,2.66,0.78,0.15,0.50,2,2
637,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-256,2003,1.5,0,3,2,66.7,02.01,1.34,0.00,0.00,0,0
638,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-256,2003,1.0,0,3,1,33.3,3.00,1.00,0.00,0.00,0,0
639,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,21-031,2004,15.6,0,12,2,16.7,0.77,0.13,0.00,0.00,0,0
640,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26-073,1999,16.0,0,0,0,,0.00,0.00,,,0,0
641,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-130,1997,2.2,0,4,1,25.0,1.80,0.45,0.00,0.00,0,0
642,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-265,1987,7.0,0,0,0,,0.00,0.00,,,0,0
643,Djené,tg TOG,"DF,MF",Getafe,es La Liga,34-028,1991,16.6,0,4,0,0.0,0.24,0.00,0.00,,0,0
644,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,19-084,2006,2.5,2,6,3,50.0,2.39,1.19,0.33,0.67,0,0
645,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-343,1993,16.3,0,8,0,0.0,0.49,0.00,0.00,,0,0
646,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,34-004,1992,21.0,0,0,0,,0.00,0.00,,,0,0
647,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,de Bundesliga,27-226,1998,17.4,4,29,10,34.5,1.67,0.57,0.14,0.40,0,0
648,Dodô,br BRA,"MF,DF",Fiorentina,it Serie A,27-072,1998,21.0,0,17,1,5.9,0.81,0.05,0.00,0.00,0,0
649,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-212,1998,19.0,4,27,4,14.8,1.42,0.21,0.15,1.00,0,0
650,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,34-012,1992,6.6,0,3,0,0.0,0.45,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
651,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-255,2002,16.9,0,9,3,33.3,0.53,0.18,0.00,0.00,0,0
652,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23-246,2002,13.2,1,20,8,40.0,1.52,0.61,0.05,0.13,0,0
653,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,24-031,2001,15.3,0,20,6,30.0,1.30,0.39,0.00,0.00,0,0
654,Marc Domenech,es ESP,MF,Mallorca,es La Liga,20-027,2006,2.4,0,3,0,0.0,1.26,0.00,0.00,,0,0
655,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,22-131,2003,4.7,0,8,1,12.5,1.71,0.21,0.00,0.00,0,0
656,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-351,2001,4.8,0,1,0,0.0,0.21,0.00,0.00,,0,0
657,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,27-214,1998,8.0,1,13,3,23.1,1.63,0.38,0.08,0.33,0,0
658,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-169,1995,10.9,2,20,9,45.0,1.84,0.83,0.10,0.22,0,0
659,John Donald,es ESP,"DF,MF",Elche,es La Liga,25-151,2000,3.4,1,4,2,50.0,1.19,0.59,0.25,0.50,0,0
660,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-337,1999,20.0,0,0,0,,0.00,0.00,,,0,0
661,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,19-059,2006,0.0,0,1,0,0.0,90.00,0.00,0.00,,0,0
662,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,21-094,2004,14.8,3,20,7,35.0,1.35,0.47,0.15,0.43,0,0
663,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,28-013,1998,13.9,0,12,2,16.7,0.86,0.14,0.00,0.00,0,0
664,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-136,2002,1.3,1,2,1,50.0,1.49,0.74,0.50,1.00,0,0
665,Fodé Doucouré,ml MLI,MF,Le Havre,fr Ligue 1,24-359,2001,7.5,2,13,5,38.5,1.73,0.66,0.15,0.40,0,0
666,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20-277,2005,0.5,0,0,0,,0.00,0.00,,,0,0
667,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,fr Ligue 1,20-239,2005,6.0,3,19,9,47.4,3.18,1.51,0.16,0.33,0,0
668,Guela Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,23-103,2002,12.9,1,4,2,50.0,0.31,0.16,0.25,0.50,0,0
669,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22-188,2003,13.2,0,5,2,40.0,0.38,0.15,0.00,0.00,0,0
670,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-344,2003,11.4,4,25,9,36.0,2.20,0.79,0.16,0.44,0,0
671,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-179,1999,13.4,8,30,16,53.3,2.23,1.19,0.23,0.44,1,1
672,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-221,1997,4.3,3,10,5,50.0,2.31,1.15,0.30,0.60,0,0
673,Max Dowman,eng ENG,MF,Arsenal,eng Premier League,16-028,2009,0.3,0,3,0,0.0,9.31,0.00,0.00,,0,0
674,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21-206,2004,2.5,0,5,2,40.0,02.02,0.81,0.00,0.00,0,0
675,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,eng Premier League,23-359,2002,0.1,0,1,0,0.0,12.86,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
676,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16-233,2009,0.1,0,0,0,,0.00,0.00,,,0,0
677,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-324,1995,17.0,0,7,1,14.3,0.41,0.06,0.00,0.00,0,0
678,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,37-013,1989,23.0,0,0,0,,0.00,0.00,,,0,0
679,Denzel Dumfries,nl NED,MF,Inter,it Serie A,29-285,1996,8.0,1,9,3,33.3,1.13,0.38,0.11,0.33,0,0
680,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,34-068,1991,21.5,0,15,1,6.7,0.70,0.05,0.00,0.00,0,0
681,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,32-330,1993,3.0,0,0,0,,0.00,0.00,,,0,0
682,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24-248,2001,9.7,2,20,8,40.0,02.05,0.82,0.10,0.25,0,0
683,Hugo Duro,es ESP,FW,Valencia,es La Liga,26-079,1999,13.4,7,23,10,43.5,1.72,0.75,0.30,0.70,0,0
684,Rafiu Durosinmi,ng NGA,FW,Pisa,it Serie A,23-027,2003,0.8,1,1,1,100.0,1.22,1.22,1.00,1.00,0,0
685,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,32-074,1993,11.7,2,36,14,38.9,03.07,1.20,0.06,0.14,0,1
686,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-317,1986,2.7,0,4,1,25.0,1.48,0.37,0.00,0.00,0,0
687,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,30-125,1995,9.0,1,2,1,50.0,0.22,0.11,0.50,1.00,0,0
688,Aron Dønnum,no NOR,"MF,FW",Toulouse,fr Ligue 1,27-283,1998,15.8,3,22,9,40.9,1.39,0.57,0.00,0.00,3,3
689,George Earthy,eng ENG,MF,West Ham United,eng Premier League,21-145,2004,0.1,0,0,0,,0.00,0.00,,,0,0
690,Younes Ebnoutalib,de GER,FW,Eintracht Frankfurt,de Bundesliga,22-137,2003,1.2,1,3,1,33.3,2.48,0.83,0.33,1.00,0,0
691,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-165,2004,8.8,0,10,2,20.0,1.14,0.23,0.00,0.00,0,0
692,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-323,1999,2.4,0,1,0,0.0,0.42,0.00,0.00,,0,0
693,Claudio Echeverri,ar ARG,MF,Girona,es La Liga,20-026,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,,0,0
694,Claudio Echeverri,ar ARG,MF,Leverkusen,de Bundesliga,20-026,2006,1.5,0,1,0,0.0,0.67,0.00,0.00,,0,0
695,Éderson,br BRA,MF,Atalanta,it Serie A,26-205,1999,14.6,0,21,4,19.0,1.44,0.27,0.00,0.00,0,0
696,Noah Edjouma,fr FRA,FW,Toulouse,fr Ligue 1,20-116,2005,2.7,0,8,3,37.5,03.01,1.13,0.00,0.00,0,0
697,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,28-012,1998,0.0,0,0,0,,0.00,0.00,,,0,0
698,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,28-012,1998,10.2,7,23,15,65.2,2.25,1.47,0.26,0.40,1,1
699,Marcus Edwards,eng ENG,"MF,FW",Burnley,eng Premier League,27-056,1998,6.4,1,12,4,33.3,1.87,0.62,0.08,0.25,0,0
700,CJ Egan-Riley,eng ENG,"DF,MF",Marseille,fr Ligue 1,23-026,2003,5.4,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
701,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,29-051,1996,19.0,2,27,7,25.9,1.42,0.37,0.07,0.29,0,0
702,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,it Serie A,30-248,1995,6.9,0,1,0,0.0,0.15,0.00,0.00,,0,0
703,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,28-071,1997,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,0,0
704,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,es La Liga,28-026,1998,4.8,1,12,1,8.3,2.52,0.21,0.08,1.00,0,0
705,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27-099,1998,13.1,0,5,1,20.0,0.38,0.08,0.00,0.00,0,0
706,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,19-078,2006,5.4,2,12,3,25.0,2.23,0.56,0.17,0.67,0,0
707,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-222,2002,13.9,8,45,13,28.9,3.23,0.93,0.18,0.62,0,0
708,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-298,2000,13.3,2,19,8,42.1,1.43,0.60,0.11,0.25,0,0
709,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-162,2003,14.3,0,6,3,50.0,0.42,0.21,0.00,0.00,0,0
710,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-311,1994,5.9,2,15,5,33.3,2.53,0.84,0.13,0.40,0,0
711,Anthony Elanga,se SWE,FW,Newcastle United,eng Premier League,23-276,2002,8.2,0,10,3,30.0,1.22,0.37,0.00,0.00,0,0
712,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-297,1997,9.8,0,2,1,50.0,0.20,0.10,0.00,0.00,0,0
713,Unai Elgezabal,es ESP,"DF,MF",Levante,es La Liga,32-278,1993,10.4,0,2,0,0.0,0.19,0.00,0.00,,0,0
714,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,23-323,2002,16.4,1,12,5,41.7,0.73,0.31,0.08,0.20,0,0
715,Harvey Elliott,eng ENG,"FW,MF",Liverpool,eng Premier League,22-299,2003,0.0,0,0,0,,0.00,0.00,,,0,0
716,Harvey Elliott,eng ENG,MF,Aston Villa,eng Premier League,22-299,2003,1.1,0,3,0,0.0,2.76,0.00,0.00,,0,0
717,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26-126,1999,10.7,0,14,5,35.7,1.30,0.47,0.00,0.00,0,0
718,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-306,1994,3.7,0,2,1,50.0,0.53,0.27,0.00,0.00,0,0
719,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-120,1996,19.0,0,4,0,0.0,0.21,0.00,0.00,,0,0
720,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-348,1997,12.4,5,20,10,50.0,1.61,0.81,0.25,0.50,0,0
721,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-359,2003,4.6,4,16,8,50.0,3.48,1.74,0.25,0.50,0,0
722,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-196,2004,9.0,3,33,11,33.3,3.68,1.23,0.09,0.27,0,0
723,Julio Enciso,py PAR,"MF,FW",Strasbourg,fr Ligue 1,22-005,2004,9.3,1,28,10,35.7,03.03,01.08,0.04,0.10,0,0
724,Wataru Endo,jp JPN,"DF,MF",Liverpool,eng Premier League,32-353,1993,1.1,0,0,0,,0.00,0.00,,,0,0
725,Endrick,br BRA,FW,Real Madrid,es La Liga,19-191,2006,0.1,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
726,Endrick,br BRA,FW,Lyon,fr Ligue 1,19-191,2006,2.0,3,10,8,80.0,05.08,04.07,0.20,0.25,1,1
727,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-355,2001,14.3,1,11,4,36.4,0.77,0.28,0.09,0.25,0,0
728,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-348,1992,12.4,1,18,6,33.3,1.45,0.48,0.00,0.00,1,1
729,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-123,1995,21.0,0,0,0,,0.00,0.00,,,0,0
730,Carlos Espí,es ESP,FW,Levante,es La Liga,20-188,2005,1.9,1,4,2,50.0,02.07,01.03,0.25,0.50,0,0
731,Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,es La Liga,34-023,1992,6.0,1,8,4,50.0,1.32,0.66,0.13,0.25,0,0
732,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-214,2005,8.3,3,34,11,32.4,4.11,1.33,0.09,0.27,0,0
733,Sebastiano Esposito,it ITA,"FW,MF",Cagliari,it Serie A,23-210,2002,16.2,3,28,8,28.6,1.73,0.49,0.11,0.38,0,0
734,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,20-260,2005,0.5,0,0,0,,0.00,0.00,,,0,0
735,Samuel Essende,cd COD,"MF,FW",Augsburg,de Bundesliga,28-005,1998,4.5,1,15,3,20.0,3.32,0.66,0.07,0.33,0,0
736,Marco Esteban,es ESP,DF,Oviedo,es La Liga,20-027,2006,0.5,0,0,0,,0.00,0.00,,,0,0
737,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-247,2002,18.9,0,6,1,16.7,0.32,0.05,0.00,0.00,0,0
738,Tomás Esteves,pt POR,DF,Pisa,it Serie A,23-300,2002,0.2,0,0,0,,0.00,0.00,,,0,0
739,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,30-075,1995,9.5,0,8,1,12.5,0.85,0.11,0.00,0.00,0,0
740,Pervis Estupiñán,ec ECU,MF,Milan,it Serie A,28-007,1998,7.5,0,6,0,0.0,0.80,0.00,0.00,,0,0
741,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-106,2003,2.8,1,7,3,42.9,2.46,01.05,0.14,0.33,0,0
742,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-106,2003,12.2,5,31,13,41.9,2.54,01.06,0.16,0.38,0,1
743,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-114,1999,17.6,5,46,15,32.6,2.61,0.85,0.11,0.33,0,0
744,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-180,1996,15.2,0,23,7,30.4,1.51,0.46,0.00,0.00,0,0
745,Eberechi Eze,eng ENG,"MF,FW",Arsenal,eng Premier League,27-213,1998,10.8,4,25,10,40.0,2.32,0.93,0.16,0.40,0,0
746,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-213,1998,0.9,0,6,2,33.3,6.51,2.17,0.00,0.00,0,0
747,Abde Ezzalzouli,ma MAR,MF,Real Betis,es La Liga,24-042,2001,9.7,4,33,11,33.3,3.41,1.14,0.12,0.36,0,0
748,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,23-014,2003,7.8,2,14,4,28.6,1.79,0.51,0.14,0.50,0,0
749,Giovanni Fabbian,it ITA,MF,Fiorentina,it Serie A,23-014,2003,0.5,0,1,1,100.0,2.00,2.00,0.00,0.00,0,0
750,Alieu Fadera,gm GAM,FW,Sassuolo,it Serie A,24-086,2001,9.8,2,13,4,30.8,1.33,0.41,0.15,0.50,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
751,Wout Faes,be BEL,DF,Monaco,fr Ligue 1,27-300,1998,1.3,0,1,0,0.0,0.76,0.00,0.00,,0,0
752,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-350,2001,15.2,0,17,3,17.6,1.12,0.20,0.00,0.00,0,0
753,Romain Faivre,fr FRA,MF,Auxerre,fr Ligue 1,27-198,1998,0.2,0,0,0,,0.00,0.00,,,0,0
754,Omar Falah,es ESP,DF,Oviedo,es La Liga,22-141,2003,0.2,0,0,0,,0.00,0.00,,,0,0
755,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-291,1995,22.0,0,0,0,,0.00,0.00,,,0,0
756,Ansu Fati,es ESP,MF,Monaco,fr Ligue 1,23-089,2002,5.3,6,21,11,52.4,3.93,02.06,0.14,0.27,3,4
757,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-128,2004,6.4,0,6,1,16.7,0.94,0.16,0.00,0.00,0,0
758,Jacopo Fazzini,it ITA,"MF,FW",Fiorentina,it Serie A,22-318,2003,4.3,0,7,1,14.3,1.64,0.23,0.00,0.00,0,0
759,Aleix Febas,es ESP,MF,Elche,es La Liga,29-360,1996,20.9,2,16,7,43.8,0.77,0.34,0.13,0.29,0,0
760,Mattia Felici,it ITA,MF,Cagliari,it Serie A,24-286,2001,4.6,2,9,6,66.7,1.97,1.31,0.22,0.33,0,0
761,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-312,1997,3.1,0,3,1,33.3,0.96,0.32,0.00,0.00,0,0
762,Robin Fellhauer,de GER,"MF,DF",Augsburg,de Bundesliga,28-007,1998,17.4,1,19,4,21.1,01.09,0.23,0.05,0.25,0,0
763,Kiko Femenía,es ESP,"DF,MF",Getafe,es La Liga,34-360,1991,12.6,0,3,1,33.3,0.24,0.08,0.00,0.00,0,0
764,Evan Ferguson,ie IRL,FW,Roma,it Serie A,21-101,2004,8.6,3,27,15,55.6,3.14,1.75,0.11,0.20,0,0
765,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-157,1999,10.5,1,9,2,22.2,0.86,0.19,0.11,0.50,0,0
766,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-142,1994,19.0,5,50,13,26.0,2.63,0.68,0.06,0.23,2,4
767,Mateus Fernandes,pt POR,MF,West Ham United,eng Premier League,21-202,2004,18.6,3,15,3,20.0,0.81,0.16,0.20,1.00,0,0
