Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
42,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-339,2008,10.9,0,9,2,22.2,0.83,0.18,0.00,0.00,0,0
43,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-363,1995,9.3,0,8,2,25.0,0.86,0.21,0.00,0.00,0,0
44,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-121,1995,2.2,0,2,0,0.0,0.91,0.00,0.00,,0,0
45,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29-112,1996,6.8,0,5,1,20.0,0.74,0.15,0.00,0.00,0,0
46,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-287,2006,7.2,2,3,2,66.7,0.42,0.28,0.67,1.00,0,0
47,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-236,2001,2.4,0,2,0,0.0,0.84,0.00,0.00,,0,0
48,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-216,1998,7.9,3,19,9,47.4,2.41,1.14,0.16,0.33,0,1
49,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-109,2004,0.0,0,0,0,,0.00,0.00,,,0,0
50,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-286,1998,12.2,0,8,2,25.0,0.66,0.16,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
51,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-337,1994,17.3,2,32,9,28.1,1.84,0.52,0.06,0.22,0,0
52,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-193,1995,19.1,0,13,0,0.0,0.68,0.00,0.00,,0,0
53,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-344,1995,5.5,0,4,0,0.0,0.73,0.00,0.00,,0,0
54,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,21-287,2004,2.1,0,6,2,33.3,2.87,0.96,0.00,0.00,0,0
55,Ilias Akhomach,ma MAR,MF,Rayo Vallecano,es La Liga,21-287,2004,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0
56,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-064,2004,10.0,0,10,3,30.0,1.00,0.30,0.00,0.00,0,0
57,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-337,2002,16.4,3,32,10,31.3,1.95,0.61,0.09,0.30,0,0
58,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-065,2001,15.7,0,6,0,0.0,0.38,0.00,0.00,,0,0
59,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-109,1992,5.5,0,4,1,25.0,0.73,0.18,0.00,0.00,0,0
60,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-284,1995,0.3,0,0,0,,0.00,0.00,,,0,0
61,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-218,1992,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,0,0
62,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-146,1985,4.1,0,1,0,0.0,0.25,0.00,0.00,,0,0
63,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,23-059,2002,7.4,0,18,5,27.8,2.44,0.68,0.00,0.00,0,0
64,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29-033,1996,18.3,1,16,6,37.5,0.87,0.33,0.06,0.17,0,0
65,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-302,1998,7.0,1,14,6,42.9,2.00,0.86,0.07,0.17,0,0
66,Carles Aleñá,es ESP,MF,Alavés,es La Liga,28-023,1998,13.5,0,17,4,23.5,1.26,0.30,0.00,0.00,0,0
67,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,es La Liga,27-113,1998,4.4,0,3,0,0.0,0.69,0.00,0.00,,0,0
68,Alfon,es ESP,MF,Sevilla,es La Liga,26-269,1999,3.5,1,11,7,63.6,3.17,02.02,0.09,0.14,0,0
69,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,22-009,2004,9.3,4,16,7,43.8,1.71,0.75,0.25,0.57,0,0
70,Alisson,br BRA,GK,Liverpool,eng Premier League,33-118,1992,18.0,0,0,0,,0.00,0.00,,,0,0
71,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,30-335,1995,1.5,1,5,1,20.0,3.38,0.68,0.20,1.00,0,0
